mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,MW,LogP,TPSA,Nrot,SA
2019,CN(C=O)CN,27.031402690676785,27.002508,27.00962916862285,88.11000000000001,-1.0092,46.33,2,1.66
2023,CN(C=O)CN1CC1,27.79654787129774,27.74954,27.771531602781245,114.14800000000001,-0.6523000000000001,23.32,3,2.44
2029,CN(C=O)CC(N)=O,26.690618049199117,26.818878,26.753726553372644,116.12,-1.4400999999999997,63.4,3,1.94
2044,CN(C=O)CC(O)O,24.04851331502435,24.082607,24.05899728246751,119.11999999999998,-1.6147000000000002,60.77000000000001,3,1.94
2092,O=CN1CC1O,24.114516311835622,24.075665,24.110472831523055,87.07799999999999,-1.2232000000000003,40.31,1,1.98
2097,NC1CN1C=O,26.955867226304413,26.721899,26.8357941638587,86.09399999999998,-1.2568000000000001,46.1,1,1.98
2098,CNC1CN1C=O,27.476927692351357,27.356703,27.411362661991532,100.12099999999998,-0.9961,32.11,2,2.21
2100,CN(C)C1CN1C=O,27.755657638722926,27.749863,27.750380894126955,114.148,-0.6539000000000001,23.32,2,2.26
2101,O=CN1CC1N1CC1,27.582718420823777,27.547264,27.58107945061513,112.132,-0.8999000000000001,23.089999999999996,2,2.76
2107,NC(=O)C1CN1C=O,26.497217520130008,26.554176,26.53548705697021,114.104,-1.6877000000000002,63.17,2,2.26
2108,CNC(=O)C1CN1C=O,26.816480858118418,26.755163,26.765450021704282,128.131,-1.4269999999999996,49.18,2,2.31
2122,O=CN1CC1C(O)O,23.987698747026084,23.954165,23.973068866859222,117.10399999999997,-1.8623,60.540000000000006,2,2.26
2153,C#CCO,20.04390148093978,20.105621,20.087055658150724,56.064,-0.3881,20.23,0,1.2
2158,C#CCN,26.733792623394056,26.928814,26.828047066990337,55.07999999999999,-0.4216999999999999,26.02,0,1.2
2159,C#CCNC,27.69310451629561,27.762209,27.73545543899691,69.107,-0.16100000000000003,12.03,1,1.43
2162,C#CCN1CC1,27.913317749089728,27.939827,27.922507561660446,81.118,-0.06479999999999997,3.01,1,1.98
2163,C#CCF,18.900732053644507,18.8007,18.820872269276684,58.05499999999999,0.5891,0.0,0,1.2
2185,CC#CCN,27.335930555195016,27.251915,27.288877223515698,69.107,-0.03159999999999996,26.02,0,1.25
2189,CC#CCN1CC1,28.070801804411,28.260334,28.166100030567534,95.145,0.32530000000000003,3.01,1,2.03
2621,NS(=O)(=O)CO,23.212664428673552,23.28948,23.250840546001537,111.12199999999999,-1.7752999999999997,80.39,1,1.48
2626,NCS(N)(=O)=O,26.053626246381302,25.974096,26.022515065007845,110.13799999999999,-1.8088999999999995,86.18,1,1.48
2636,NC(=O)CS(N)(=O)=O,25.27005993813484,25.26325,25.267194568455665,138.148,-2.2398,103.25,2,1.7599999999999998
2637,CNC(=O)CS(N)(=O)=O,25.639987076731305,25.754866,25.692862816974127,152.175,-1.979099999999999,89.25999999999999,2,1.8099999999999998
2651,NS(=O)(=O)CC(O)O,22.919874419904875,23.01925,22.96231171725418,141.148,-2.4143999999999988,100.62,2,1.7599999999999998
2654,COP,21.7760100403706,21.741447,21.737180391896377,64.024,0.4228999999999999,9.23,0,1.15
2658,NP,25.808867198899705,25.989285,25.955010671708067,49.013,-0.2647999999999999,26.02,0,1.1
2659,CNP,27.517826566139597,27.657179,27.580650845605128,63.04,-0.0041000000000001036,12.03,0,1.15
2662,PN1CC1,27.73601819947959,27.80001,27.75066092917249,75.051,0.09209999999999996,3.01,0,1.7
2663,FP,22.229209520547585,20.464334,21.275412600932043,51.988,0.746,0.0,0,1.1
3148,O=C1NC(=O)C(CO)N1,25.75374025986112,25.76809,25.768525733337924,130.10299999999998,-1.8133,78.43,1,2.13
3149,NCC1NC(=O)NC1=O,28.14059329772432,28.248857,28.198376109441277,129.119,-1.8468999999999998,84.22,1,2.13
3523,CS(C)=O,26.394753762845856,29.811806,27.9794634883796,78.136,-0.005299999999999971,17.07,0,1.2
3526,OCC(O)O,19.055247558851303,19.02029,19.03463927885692,78.06700000000001,-1.7106000000000001,60.69,1,1.43
3530,CN(C)N(C)C=O,28.95665579299808,29.583652,29.250448121207114,102.13699999999999,-0.4488000000000001,23.55,2,1.71
3531,CN(C)C(=N)N(C)C,30.096845797374208,30.02327,30.065047386399034,115.17999999999999,0.0443699999999998,30.330000000000005,0,1.4
3532,Nc1ccccn1,34.82338140817649,37.930634,36.36704239724884,94.117,0.6638000000000001,38.91,0,3.35
3540,CN1CCCCC1,29.897740080826477,29.976116,29.937766254926853,99.177,1.1021,3.24,0,1.85
3547,CC(C)NC(C)C,31.48505657424336,31.969458,31.719628283940068,101.19299999999998,1.3927999999999998,12.03,2,1.71
3548,CN1CCN(C)CC1,29.1966707173663,29.025595,29.12137742121336,114.192,-0.13640000000000008,6.48,0,1.9
3549,O=C1NC(=O)C(=O)N1,25.00863314172952,24.996834,24.997825638511806,114.05999999999999,-1.6476000000000002,75.27,0,1.9
